study_id,query_id,origin,title,first_author,year,venue,doi_or_url,axis,stage,decision,criterion,dedup_of,verified_date,verified_via,bibkey,notes
S001,,known-source,Consumer-controlled digital twin architecture: How blockchain technology gives consumers control over their smart devices' digital twins and data,Pinto,2026,Blockchain: Research and Applications,10.1016/j.bcra.2025.100342,J,full_text,include,I2,,2026-08-13,Supplied full-text PDF EXT-001; SHA-256 de0d0591a4982d764402139293ed5d63f3b420ad180fbe46eb6f2b032f21a7c6; DOI metadata cross-checked,pinto2026c2dta,seed; full text verified from controlled source EXT-001; prior work of the C2DTA line anchoring this dissertation; version of record assigned to the June 2026 issue (online-first 2025)
S002,,known-source,Design Science in Information Systems Research,Hevner,2004,MIS Quarterly,10.2307/25148625,I,title_abstract,include,I1,,2026-08-07,Crossref API,hevner2004design,seed; DSR methodology classic used in Chapter 3; provisional inclusion for advisor draft; full-text pass pending under the registered protocol
S003,,known-source,A Design Science Research Methodology for Information Systems Research,Peffers,2007,Journal of Management Information Systems,10.2753/MIS0742-1222240302,I,title_abstract,include,I1,,2026-08-07,Crossref API,peffers2007design,seed; DSR process model used in Chapter 3; provisional inclusion for advisor draft
S004,,known-source,Web of Things (WoT) Thing Description 1.1,W3C,2023,W3C,https://www.w3.org/TR/wot-thing-description11/,G,full_text,include,I2,,2026-08-07,w3.org TR page,w3c2023wottd,known-primary-standard; W3C Recommendation of 5 December 2023
S005,,known-source,MQTT Version 5.0,OASIS,2019,OASIS,https://docs.oasis-open.org/mqtt/mqtt/v5.0/os/mqtt-v5.0-os.html,F,full_text,include,I2,,2026-08-07,OASIS document page,oasis2019mqtt,known-primary-standard; OASIS Standard of 7 March 2019
S006,,known-source,Eclipse Ditto: open source framework for digital twins in the IoT,Eclipse Foundation,2026,Eclipse Foundation,https://eclipse.dev/ditto/,C,full_text,include,I2,,2026-08-07,eclipse.dev/ditto,eclipse2026ditto,official documentation of the platform used by the artefact; WoT-integration version claims (optional in 2.4.0; stable and default since 3.0.0) re-verified 2026-08-08 via eclipse.dev/ditto/basic-wot-integration.html
S007,,known-source,Yocto Project Documentation (Scarthgap; 5.0 LTS),Yocto Project,2024,Yocto Project,https://docs.yoctoproject.org/scarthgap/,D,full_text,include,I2,,2026-08-07,docs.yoctoproject.org and wiki.yoctoproject.org/wiki/Releases,yocto2024scarthgap,official documentation of the build system used by the artefact; LTS window April 2024 to April 2028
S008,,known-source,The Buildroot User Manual,Buildroot developers,2026,Buildroot project,https://buildroot.org/downloads/manual/manual.html,D,full_text,include,I2,,2026-08-08,buildroot.org (manual for Buildroot 2026.05; re-verified 2026-08-08),buildroot2026manual,official documentation of the main alternative build system; used for the Chapter 2 comparison
S009,,known-source,What is Azure Digital Twins?,Microsoft Corporation,2025,Microsoft Learn,https://learn.microsoft.com/en-us/azure/digital-twins/overview,C,full_text,include,I2,,2026-08-08,learn.microsoft.com (page dated 2025-01-27; re-verified 2026-08-08),microsoft2026azuredt,GREY LITERATURE (E3 exception; marked); vendor documentation used only as engineering context for the platform comparison in Chapter 2
S010,,known-source,The Emergence of Edge Computing,Satyanarayanan,2017,Computer,10.1109/MC.2017.9,A,title_abstract,include,I1,,2026-08-08,Crossref API (re-verified 2026-08-08),satyanarayanan2017emergence,seed; canonical edge-computing reference; provisional inclusion for advisor draft
