decision_id,decision_requested,recommended_position,evidence_or_reason,blocking_effect
D001,"Approve or revise the two-layer title, objective and RQ1-RQ3 wording","Approve the two-layer framing while keeping the normative thesis unchanged until written confirmation","Written 2026-08-13: Yocto/QEMU and the native-ARM64 service stack are separate artefact/deployment layers; no evidence shows Ditto running inside the Yocto image. Superseded on 2026-09-18: the six-container stack, Ditto included, was deployed and ran inside the emulated Yocto guest during the first bounded end-to-end flow, whose record is candidate evidence held outside the repository and unsealed; the student adopted the integrated plan v2.0 with the QEMU-only execution amendment, and this request is superseded as a live request by D011. The original reason is retained for the record","Blocks integration of the proposed title, objective, RQs, abstract and Resumo (written 2026-08-13). Dated note of 2026-09-18: this two-layer wording was never sent and is not what the student reports confirmed. The title and research-question approvals the student reports concern the integrated framing and are recorded at D011 in the governance decision log"
D002,"Confirm whether SSI, ACA-Py, DIDComm, Fabric, Indy and IPFS are excluded from P0","Exclude them from P0 and describe them only as C2DTA context, interface boundaries and future work","None is required to answer the proposed RQs; none is implemented or live-tested in the current repository. Dated note of 2026-09-18: the student reports that the local-core scope was confirmed, so these components stay outside mandatory implementation. Reported by the student, not a documented supervisor decision, and undated","Blocks final scope statement but does not block local-core implementation. Dated note of 2026-09-18: the confirmation the student reports is recorded at D002 in the governance decision log"
D003,"Approve the literature-review designation","Written 2026-08-13: use 'structured scoping/narrative review' until institutional database searches and the full-text pass are complete. Superseded on 2026-09-18: the student reports that the method was settled in a follow-up as a scoping review, so the interchangeable label is withdrawn and the choice is not reopened. The original position is retained for the record","The current corpus combines seed references, snowballing and provisional title/abstract screening. The designation the student reports settled is reported by the student, not a documented supervisor decision, and undated; it proves no search, no screening pass and no completed protocol","Blocks final Chapter 3 method label (written 2026-08-13). Superseded on 2026-09-18: the designation is settled as a scoping review, as reported; what remains is execution of the review, tracked at D003 in the governance decision log"
D004,"Confirm the official 2026 dissertation template, cover and mandatory Portuguese front matter","Use only the version supplied or explicitly confirmed by the university/supervisors","The repository has a working LaTeX template but its administrative status for 2026 is not evidenced. Dated note of 2026-09-18: the student reports that use of the institution-supplied template is mandatory. Reported by the student, not a documented supervisor decision, and undated; it is not a completed conformity check of the final PDF and it does not authenticate the local copy","Blocks final typesetting and submission package. Narrowed on 2026-09-18: the requirement itself is reported confirmed, so what still blocks the final academic release is the authenticity check of the local Template_LaTeX copy against the current official 2026 source, the cover and author/supervisor/co-supervisor metadata, and the conformity check of the final PDF"
D005,"Agree the review cadence and feedback cut-off dates","Written 2026-08-13: short scope/infrastructure decision meeting by 2026-08-20; protocol review before exp-v1; full-draft review by 2026-09-23. Re-dated on 2026-09-18: the review window now requested is the one in D011-D014 of the governance decision log, in particular D013; those dates are the student's planning targets. Dated note of 2026-09-18: the student reports that three of the D013 dates were confirmed - Chapters 1-4 on 2026-10-01, the full draft on 2026-10-08 and feedback between 2026-10-09 and 2026-10-14 - so those three are reported agreed rather than merely requested. The rest of D013 - corrections and final checks to 2026-10-19, packaging on 2026-10-19, submission on 2026-10-20 and the final delivery deadline of 2026-10-31 - remains the student's first-party statement and is not reported agreed. The original position is retained for the record","The August weekly cadence was never sent and is superseded as a live request rather than agreed. The schedule the student reports confirmed is recorded at D013; it is reported by the student, not a documented supervisor decision, and undated","Controls review windows; silence is not approval. Narrowed on 2026-09-18: what remains open is not the schedule but the actual turnaround inside the reported feedback window, which is requested and not guaranteed - see risks R7 and R14"
D006,"Define the acceptance condition for the word 'reproducible'","Reserve 'reproducible' for a clean reproduction by an independent second operator; otherwise use 'versioned' and 'repeatable build'","A clean-checkout build and five strict boots are sealed (besides the preliminary bring-up set) and gate G1 is accepted for the functional scope. Dated note of 2026-09-18: the student reports that another person does not need to test, so the second-operator requirement leaves mandatory delivery. Reported by the student, not a documented supervisor decision, and undated","Blocks reproducibility claims in title, abstract and conclusions. Narrowed on 2026-09-18: the requirement for a second operator is waived as reported, and the waiver is not an acceptance criterion of any gate. The vocabulary is unchanged - without an independent clean reconstruction the wording stays 'versioned' and 'repeatable build by the author', and 'reproducible' is not licensed. The waiver concerns software testing and says nothing about dual literature screening"
D007,"Approve the operational thresholds and exclusion rules for the experimental protocol","Approve or revise all thresholds before freezing exp-v1; do not collect official data under unapproved thresholds","Threshold choices affect run acceptance and all quantitative claims. Dated note of 2026-09-18: the quantity target the student reports - attempt the historical 95-run composition, including the 24-hour soak, under QEMU and subject to the pilot's feasibility check - settles no threshold, no exclusion rule and no acceptance policy","Blocks exp-v1 freeze and the official campaign; unchanged on 2026-09-18"
D008,"Approve the three platform roles","Written 2026-08-13: QEMU for functional OS checks only; burstable native ARM64 for integration only; non-burstable native ARM64 as the sole source of performance results. Superseded in substance on 2026-09-18 by the evidence classes of the adopted plan section 3.5: the integrated system is evaluated under QEMU/TCG, RQ3 is bounded to that emulated environment, emulated timing and resource figures are informational and are never native ARM64 performance, and the burstable and non-burstable tiers are deferred with the native route. The original position is retained for the record","QEMU timing is not hardware-representative and CPU-credit throttling confounds burstable instances. Dated note of 2026-09-18: the student reports supervisor approval to proceed with the QEMU tests and approval of the RQs with RQ3 evaluated in QEMU. Reported by the student, not a documented supervisor decision, and undated","Blocks interpretation of RQ3 and final infrastructure selection (written 2026-08-13). Superseded on 2026-09-18: infrastructure selection is settled by the adoption and this row blocks nothing; the live request about the scope of the evaluation is D014. Revised 2026-09-19: this cell formerly said that the academic-use half of D014 remains unanswered; D014 in the governance decision log now records the QEMU evaluation scope of RQ3 as reported approved - reported by the student, undated and not a documented supervisor decision - and keeps open only the wording of the native-evidence limitation and of claims about emulated figures, with the numerical thresholds at D007"
D009,"Confirm the terminology deviation: the implementation keeps telemetry as the contract term","Keep telemetry in code, topics and schemas; prefer wearable-data wording in thesis prose, identifying telemetry as a literal contract name at first use","The repository template asks to avoid telemetry, but the MQTT topic c2dt/{egw_id}/{device_uuid}/telemetry and the versioned envelope schema already use it as the contract term. Dated note of 2026-09-18: the student reports that the recommended wearable-data wording is authorised for active explanatory prose and diagram labels, with literal interface identifiers, reference titles, quotations and sealed evidence preserved. Reported by the student, not a documented supervisor decision, and undated","Non-blocking; affects thesis wording only. The authorised policy, including the prohibition on a blind global replacement, is written down once in ../governance/language-policy.md"
D010,"Confirm the storage deviation: the EGW stack persists twin state and evidence locally","Accept local persistence as designed; treat the no-local-data-storage stub as guidance aimed at other themes","The template coding stub says EGW orchestrator (no local data storage), while the C2DTA paper assigns the EGW the data-steward role and P0 persists twin state in MongoDB/Ditto plus sealed run evidence. Dated note of 2026-09-18: the student reports that a local copy of the work is expected as evidence. Reported by the student, not a documented supervisor decision, and undated; it confirms evidence retention only","Non-blocking; affects delimitation text in Chapter 4. Dated note of 2026-09-18: the reported confirmation covers local evidence retention. It does not settle the operational twin-state persistence question, and the verified off-machine backup remains a separate resilience control that is still outstanding"
