claim_id,statement,chapter,RQ,method,evidence_file,analysis_script,config_commit,validation_status
C01,"The egw-image image has a versioned, repeatable same-operator build from a documented clean checkout and a kas manifest with exact tags/commits pinned (Yocto 5.0.19/Scarthgap)",4,RQ1,BitBake build from a new checkout/build directory; shared-cache policy recorded; full build log; checksums of the artefacts,"docs/evidence/g1-yocto-qemu/2026-08-14-clean-build-f0e19d5/kas-checkout.log, kas-build.log, image-packages.manifest, environment.txt, manifest.json, SHA256SUMS; rootfs sha256 6c37fcc1…; kernel sha256 4457ef38…",(n/a — verification by log and checksum),src/yocto/kas/egw-qemuarm64.yml @ f0e19d5,"Partial — a clean identified same-operator checkout/build completed all 5715 tasks and is sealed (2026-08-14); 2261 tasks did not need rerun from shared sstate, so this is not a cold-cache claim. This claim covers the egw-image artefact; the build of the integrated egw-gateway-image on 2026-09-18 is separate evidence and is not folded into it. The second-operator requirement of D006 is reported waived on 2026-09-18 — reported by the student and not a documented supervisor decision — so this claim no longer waits on it; the waiver settles the requirement and not the vocabulary, and without an independent clean reconstruction the wording stays versioned and repeatable build by the author. Gate G1 was accepted on 2026-08-14 for the functional platform layer only — the acceptance validated no claim, and this claim's formal admission is the single step still outstanding"
C02,"The egw-image boots on qemuarm64 through to systemd with networking and a working OCI runtime, repeatably, including running a test container",4 and 5,RQ1,"Three distinct, non-interchangeable sets: (a) preliminary bring-up — two sealed boots driven at 32f6604; (b) strict G1 acceptance set — one instrumentation-failure attempt preserved, followed by five fresh boots driven at 9fe38ff; (c) later frozen campaign — five predefined qemu_boots identities ingested by run --external-timings. In every set, a test container is run inside the guest and ZERO performance inference is drawn","Preliminary seal: docs/evidence/g1-yocto-qemu/boot1.*, boot2.*, top-level SHA256SUMS; strict G1 seal: docs/evidence/g1-yocto-qemu/2026-08-14-clean-build-f0e19d5/qemu-boot-01.*, qemu-g1r2-01.* to qemu-g1r2-05.*, nested SHA256SUMS",src/yocto/scripts/boot_check.py @ 9fe38ff; later external timings: src/egw_experiments,image build @ f0e19d5; passing driver @ 9fe38ff,"Partial — strict G1 set produced and sealed (2026-08-14). The invalid first attempt remains fail and is not counted. Five fresh boots each passed 7 of 7 required assertions, recorded 2 of 2 observations, reported exact systemd=running and zero failed units, reached the console and powered down cleanly. Gate G1 was accepted on 2026-08-14 (functional scope; it validated no claim) and this claim's formal admission is still pending; the predefined later data-v1 identities remain pending unless a dated protocol decision explicitly admits this set. The integrated egw-gateway-image boots of 2026-09-18 are a separate sealed set and are not admitted into this claim. 0 of 15 claims are accepted"
C03,"All the stack OCI images (Mosquitto, Ditto gateway/policies/things 3.9.4, MongoDB, controller) are native linux/arm64 and pinned by digest",4,RQ1,"docker manifest inspect per image; versioned digest lockfile. Whether the five external images were pulled by pinned digest inside the guest during the first-flow session of 2026-09-18, and whether the controller image's identity was verified against its record, is not recorded in this repository; verify against the run record before restating it either way",src/deployment/images.lock.env; experiments/results/raw/g1-oci-01/logs/manifest-inspect.log (the run_id is a predefined identity and does not yet exist),(n/a — verification by inspection),(to be filled in),Pending — no evidence. Any guest-side digest verification of 2026-09-18 is candidate evidence held outside the repository and is not verifiable from here; point the evidence column at it only once the run record is checked and the capsule is sealed
C04,"The time to readiness of the DT stack in the integrated emulated guest is measured over 10 independent cold starts, with mean, standard deviation and 95% CI",5,RQ3,"10 cold starts measured inside the guest by src/deployment/scripts/measure-cold-start.sh and ingested by run --external-timings; readiness = GET /ready 200; statistical unit = run. MANDATORY SEALING (block P5.4): only a cold_start-rNN whose SHA256SUMS VERIFIES contributes to the mean/standard deviation/95% CI; an unsealed directory and a failed seal are both excluded with a warning and both listed in external_runs.csv with the corresponding integrity mark. Note on the sibling condition twin_creation (archived plan v1.0 §7.1 (protocol details frozen only at exp-v1 under D007), with no claim_id of its own): PROPOSED operational definition — to be confirmed with the supervisors — time it from the first telemetry event of an unknown device_uuid, through the creation of the policy+thing pair in Ditto (CONTRACTS §4/§5), until the twin becomes readable by GET /twins/{device_id} with 200. Environment: the integrated emulated guest (Yocto ARM64 under QEMU/TCG on the x86-64 workstation), adopted plan v2.0 of 2026-09-18. Any timing or resource figure produced here is informational and labelled emulated: it describes only that configuration and is never native ARM capacity, physical-device latency, energy efficiency or performance superiority, and its use in the evaluation chapter depends on the supervisors' agreement (D014, whose academic-use half is unanswered).",experiments/results/raw/cold_start-r01/manifest.json .. experiments/results/raw/cold_start-r10/manifest.json; experiments/results/raw/cold_start-r01/logs/ .. experiments/results/raw/cold_start-r10/logs/ (run_id generated by plan_gen.py for the cold_start condition),src/egw_experiments/analyze.py (external condition analysed by the SAME script: summary_by_condition.csv and external_runs.csv),(to be filled in),Pending — no evidence
C05,"A telemetry event travels MQTT (TLS, QoS 1) -> controller -> Ditto and the resulting state is retrievable through the API (vertical slice)",4,RQ2,"Reproducible trace: sent_events.jsonl from the simulator + events.jsonl from the controller + a GET /twins/{device_id} read. That same GET /twins/{device_id} 200 read is the final milestone of the PROPOSED operational definition of twin_creation described in C04 (to be confirmed with the supervisors). MANDATORY SEALING: because this is a bring-up run outside the frozen protocol, the analysis FLAGS (does not exclude) an unsealed directory; the requirement is this matrix own — without a SHA256SUMS generated at the end of collection and verifiable, the trace does not count as evidence for C05","experiments/results/raw/g2-slice-01/events.jsonl; experiments/results/raw/g2-slice-01/manifest.json (G2 bring-up run, outside the frozen campaign plan)",src/egw_experiments/analyze.py,(to be filled in),"Pending — no evidence. A bounded run of exactly this shape was produced inside the integrated emulated guest on 2026-09-18 — one smartwatch at 1 Hz for 60 s; 60 sent, 60 delivered unique, 0 lost, 0 late, 0 duplicate, 0 failed, 0 rejected; twin org.c2dta:5689c879-… with last_seq 59; reconciliation by identity exit 0; maximum latency 12,286 ms, emulated and informational. Its record is candidate evidence held outside the repository and unsealed, so by this matrix's own rule it is not yet acceptable evidence for the claim. The status moves only when the capsule is sealed and a dated decision admits it"
C06,"With three concurrent wearables in the nominal scenario (~11.2 msg/s aggregate), at least 99% of the valid events sent are accounted for end to end (unique Ditto acknowledgements / valid messages sent)",5,RQ2,"10 nominal runs of 10 min after 2 min of warm-up in the integrated emulated guest, as part of the frozen emulated functional campaign selected at the bounded pilot rather than the former 95-run plan; delivery rate as per archived plan v1.0 §7.3 (protocol details frozen only at exp-v1 under D007)",experiments/results/raw/nominal-r01/events.jsonl .. experiments/results/raw/nominal-r10/events.jsonl; the homologous manifest.json files (nominal condition),src/egw_experiments/analyze.py,(to be filled in),Pending — no evidence
C07,The primary MQTT->Ditto acknowledgement latency (p50/p95/p99) is measured in the controller with a monotonic clock in the same process; the simulator ts never enters this measurement,5,RQ3,"latency_ms = (ditto_ack_monotonic_ns - received_monotonic_ns)/1e6 per event; aggregation per run; percentiles per run. Environment: the integrated emulated guest (Yocto ARM64 under QEMU/TCG on the x86-64 workstation), adopted plan v2.0 of 2026-09-18. Any timing or resource figure produced here is informational and labelled emulated: it describes only that configuration and is never native ARM capacity, physical-device latency, energy efficiency or performance superiority, and its use in the evaluation chapter depends on the supervisors' agreement (D014, whose academic-use half is unanswered).",experiments/results/raw/nominal-r01/events.jsonl .. experiments/results/raw/nominal-r10/events.jsonl,src/egw_experiments/analyze.py,(to be filled in),Pending — no evidence
C08,"The load-sweep at 10, 50, 100 and 250 msg/s (10 runs of 5 min per load, randomised order, 2 min of cooldown) identifies operational saturation according to the criteria of archived plan v1.0 §7.3 (protocol details frozen only at exp-v1 under D007)",5,RQ3,"load-sweep campaign driven by the harness; saturation = loss >1% or persistent queue or p95 >1 s or CPU >90% for 60 s. Environment: the integrated emulated guest (Yocto ARM64 under QEMU/TCG on the x86-64 workstation), adopted plan v2.0 of 2026-09-18. The load levels and the number of runs are re-selected for the emulated environment at the bounded pilot and are never inherited from the native plan. Any timing or resource figure produced here is informational and labelled emulated: it describes only that configuration and is never native ARM capacity, physical-device latency, energy efficiency or performance superiority, and its use in the evaluation chapter depends on the supervisors' agreement (D014, whose academic-use half is unanswered).","experiments/results/raw/load_sweep-{010,050,100,250}mps-r01..r10/events.jsonl; experiments/results/raw/load_sweep-{010,050,100,250}mps-r01..r10/resources.csv (40 run_id generated by plan_gen.py: load_sweep-<rate:03d>mps-r<rep:02d>)","src/egw_experiments/analyze.py (saturation.json, summary_by_condition.csv)",(to be filled in),Pending — no evidence
C09,CPU and RAM per container are collected every second in all timed runs and reported per run,5,RQ3,"Resource sampling at 1 Hz inside the guest by the SUT collector (src/deployment/scripts/collect-resources.sh) ingested by run --resources-from in every timed run. Guest and container readings are recorded separately from host QEMU-process readings and are never converted between each other by an assumed emulation slowdown factor. Any timing or resource figure produced here is informational and labelled emulated: it describes only that configuration and is never native ARM capacity, physical-device latency, energy efficiency or performance superiority, and its use in the evaluation chapter depends on the supervisors' agreement (D014, whose academic-use half is unanswered).","resources.csv from every timed run in experiments/results/raw/: smoke_sequence-r01..r10; nominal-r01..r10; load_sweep-{010,050,100,250}mps-r01..r10; invalid_payload-r01..r03; dropout_reconnect-r01..r03; controller_restart-r01..r03; soak-r01","src/egw_experiments/analyze.py (resources_by_run.csv, per_run.csv)",(to be filled in),Pending — no evidence
C10,In the dropout-reconnect scenario the system recovers after a connection loss: the valid messages are acknowledged with no duplicates applied to the twins and the counters remain coherent,5,RQ2,"dropout_reconnect condition of the campaign plan, run in the integrated emulated guest (3 runs of 600 s; real MQTT disconnection with buffering on the device and QoS 1); delivery accounting tolerant of buffered redelivery inside the 60 s confirmation window; idempotency check by message_id/seq; acceptance (zero lost, zero double-accepted, real disconnections in every run — totals dropout_disconnects/buffered_dropout >= 1 from the simulator manifest — and reconciliation of the accepted counter with controller_metrics.csv, work order P1b) in processed/acceptance_by_condition.csv",experiments/results/raw/dropout_reconnect-r01..r03/events.jsonl; experiments/results/raw/dropout_reconnect-r01..r03/manifest.json,src/egw_experiments/analyze.py (acceptance_by_condition.csv),(to be filled in),Pending — no evidence
